magnitude;time
1;0.0
1;0.5802185375443835
1;0.5829585580014957
1;0.6410282127358712
1;0.6412586817462824
1;0.6412757535248315
1;0.6441907597120708
1;0.6445876785633348
1;0.6549246404747456
1;0.687484790112299
1;0.8166882781156615
14;1.0079860926463229
1;1.0183315904470083
1;1.0213660990840905
1;1.0226678221984506
1;1.0228385399839406
13;1.0233336215618611
1;1.0255529527732294
1;1.0334657221306842
1;1.033858373037311
1;1.059333734577035
2;1.0602257350062196
2;1.0613823480029134
2;1.0718217405856183
1;1.1985242130315543
1;1.1990235625541121
1;1.3118850905414579
4;1.320578893767529
14;1.3477187537157793
1;1.3478339882209849
1;1.3478809356119947
1;1.3478980073905436
1;1.3481071366777688
1;1.3485467349754052
1;1.348734524539444
1;1.3490076729962277
1;1.3503776832247838
1;1.3521019328582313
1;1.3554480014538326
1;1.3639668189497767
1;1.3655544943548323
1;1.365789231309881
1;1.374692163823177
1;1.3752000492350094
4;1.3805861953672143
1;1.3813501574572815
3;1.3830957468139153
1;1.3841670009178642
1;1.3973122704005834
1;1.3999711999095878
2;1.4169746913443777
2;1.420785965905439
1;1.4528126224633364
1;1.687353252058579
13;1.709777033182672
1;1.7154363277716609
4;1.7239124658212324
1;1.7317782877876775
4;1.732269101420961
1;1.7354785957881702
1;1.739767880148603
1;1.7419616036921477
1;1.7461015099902768
1;1.7466179312913837
3;1.7521577234305294
1;1.7701001626855137
2;1.7740053320285942
3;1.7858403425076788
2;1.804875375589798
1;2.060183823789882
1;2.0610288768280567
14;2.07111403000587
1;2.071118297950507
13;2.0758770562210374
2;2.085010457744745
4;2.1017237289442017
2;2.109329206287775
1;2.152601896964817
2;2.1548297640654597
15;2.157219813062318
1;2.157467353851278
12;2.157953899539924
3;2.162004179000671
2;2.16501307996993
1;2.611043170174647
1;2.6110730457871076
2;2.650457638899618
1;3.14959803217023
2;3.1704170661107187
1;3.2048721831672093
1;3.210091879458562
1;3.226352748526471
1;3.270376597459668
1;3.275011585335718
1;3.2753530209066977
1;3.278165596422643
2;3.2799239896131884
11;3.2825188999526342
1;3.2860399542783627
1;3.3779202664290047
1;3.52294502520264
1;3.5255185958188995
4;3.525945390282624
1;3.533008838657267
1;3.5341398439861376
13;3.5421209004577885
1;3.5652062130006543
1;3.5697771817071455
1;3.578304535092364
1;3.5791623919644504
1;3.5793203059160286
1;3.6138863895330875
2;3.6147314425712627
1;3.616664821491935
1;3.645268586450761
2;3.6642267965294097
3;3.936295463319961
1;3.9363936260466175
1;3.936525932330372
1;3.938275789631643
1;3.953845251668318
2;3.9607550540360204
1;3.9691031537464743
1;3.970029297732757
4;3.973541816169211
1;3.973908859408014
1;3.9760855111730096
1;3.9780188900936824
1;3.9787657804052006
