magnitude;time
3;0.0
2;0.5785468437224995
1;0.5852245039626338
1;0.5859337116400889
1;0.5867070043486393
1;0.6025018283459371
3;0.603292210396113
1;0.6037450779491867
1;0.6039458777132855
1;0.6049456041983727
1;0.6346297906017336
1;0.6366292435719082
1;0.6375435233488684
1;0.6375691573613065
1;0.6448534892291434
1;0.6478056729949353
2;0.6531631815945056
4;0.6531973602777564
1;0.6534750620791696
1;0.6537655808868018
1;0.6549447454589561
1;0.655171179235493
1;0.6565126925530886
1;0.6568331177085653
1;0.656888658068848
1;0.6586403155854539
2;0.6603535220834027
1;0.6644079683840344
1;0.6646344021605712
1;0.6652026227696166
1;0.6697227536295411
1;0.6709745479036034
1;0.6745034969492535
1;0.6751998876204894
1;0.6752468833099594
1;0.6761141673974497
1;0.6771224385533496
1;0.6865472104597707
3;0.8175284693478305
1;0.9402213975475598
1;0.9517054351198445
1;0.9539740452206196
1;0.9569475906634433
1;0.958037036192064
3;0.9630185792758751
1;0.9644882626556615
1;0.9656332485445649
1;0.9777410470861775
1;1.0470425997126769
3;1.1997572288128693
1;1.296277830313262
1;1.2970853017050634
1;1.2974142715313528
1;1.3202798106261697
4;1.3219374767638359
1;1.340953641657526
3;1.341397964539787
1;1.3414492325646632
1;1.3415688579560412
1;1.3416500323287621
1;1.3447004798089002
3;1.360350044402382
1;1.3618240001175748
1;1.3619649871859845
1;1.3620418892232988
1;1.3652546854488785
1;1.365523842579479
1;1.3661903269028703
1;1.3669593472760144
1;1.3741368707586925
1;1.3743932108830739
1;1.3761064173810225
1;1.3766148252943788
1;1.3788919800659665
1;1.3792081328860368
2;1.3845186457961374
1;1.3852962108400941
1;1.3882697562829178
2;1.3975663581271482
1;1.3977372515434026
1;1.399279564625097
1;1.3994333686997258
1;1.4089606766558995
1;1.4103320963213397
1;1.410370547339997
2;1.4184324442517906
4;1.4201841017683965
2;1.4222476397696664
1;1.4235592467394178
1;1.4379185660401799
2;1.440054733743358
1;1.4411569962781978
3;1.4415543234709889
1;1.443536687099538
1;1.4438571122550148
2;1.443981009981799
1;1.4440194610004562
1;1.4480696349656816
1;1.684376778626634
1;1.6882859655234495
1;1.6887431054119295
1;1.692455764880053
1;1.6927163773398406
1;1.693442674358921
1;1.6938229122100867
3;1.7036706453217372
1;1.7037945430485215
1;1.7043200403035033
1;1.7062639529133952
4;1.7256859896706893
1;1.7300864951392358
1;1.7306846220961256
1;1.7309665962329452
1;1.7314237361214253
4;1.734051222396334
1;1.7348373321111037
1;1.7388191487098272
3;1.7627399546500142
3;1.7627912226748903
3;1.7628254013581413
1;1.76343634532125
3;1.768738313560538
3;1.7687938539208206
1;1.7802949808347306
2;1.7824012421900641
3;1.7918730097859552
1;1.7997383792690564
3;1.833066867774039
1;2.0352295068673945
1;2.0449747039292925
1;2.0504817442680854
1;2.0554077469916137
1;2.061342020871042
1;2.0648666975812855
1;2.064875242252098
3;2.0728944158098286
1;2.073176389946648
1;2.0731977516236797
1;2.0740863973882018
1;2.076863415402333
1;2.0902999102553226
2;2.0912526410509398
1;2.091782410641328
1;2.0918336786662044
1;2.0949952068669075
1;2.1000023839631567
4;2.103885936847534
1;2.1087350375337484
3;2.1279306405145055
2;2.129220885807225
2;2.1421318834052325
2;2.152928074977094
1;2.154961706630519
1;2.1555427442457837
1;2.161306124708958
1;2.161524013814682
7;2.164228402126905
1;2.166189404078423
1;2.167851342551495
1;2.1692526685647797
1;2.1693423876083133
1;2.1694150173102216
3;2.1869529541533126
3;2.1869999498427823
3;2.187076851880097
3;2.1872007496068813
1;2.5131628517702125
1;2.5427573191300397
1;2.562602317092563
1;2.5981994156983204
1;3.137432229011533
1;3.1616777324426026
1;3.1651596857987827
1;3.169162864074538
1;3.169940429118495
1;3.17179889502026
1;3.1777459859059074
1;3.177788709259971
1;3.1783270235211716
3;3.181484279386469
1;3.182821520368658
1;3.183975050928374
1;3.1854062832895034
1;3.185449006643567
1;3.1870767664333886
1;3.187162213141516
1;3.215474979879436
1;3.217102739669258
3;3.2194226177949092
2;3.2195507878571
1;3.223720587213703
1;3.22449815225766
2;3.2406817587769363
1;3.2583051423281546
1;3.258766554552041
1;3.2588690906017934
1;3.2605609354227103
1;3.26070192249112
1;3.2685801089804403
1;3.2687979980861646
1;3.2902023984720077
3;3.381395397720675
4;3.529572806619317
1;3.5344988093428458
1;3.5350969362997353
1;3.5377756905995206
2;3.5411465632351353
1;3.5427657783541444
1;3.5442440064047434
3;3.554753951504379
1;3.5556041462502437
1;3.5561082818281937
1;3.5570396509467797
1;3.557095191307062
1;3.5577232246117965
1;3.563657498491225
1;3.5677119447918564
1;3.5738982864602598
3;3.5835110411245608
1;3.5929913533912643
4;3.593431403938119
1;3.5939654458639136
2;3.5943627730567047
1;3.5964818514182575
1;3.5966741065115433
1;3.5967168298656067
1;3.6003953106504794
1;3.600604655085391
3;3.6089485261340037
2;3.613639550410183
1;3.613656639751808
7;3.6176042776672808
1;3.6183690257050185
1;3.61848437876099
1;3.6203855680168187
1;3.620693176166076
1;3.6234915558572394
1;3.623786347000278
1;3.6269008795115116
1;3.629007140866845
1;3.631015138507832
2;3.6382695640278246
1;3.638987316376092
2;3.667996473785249
1;3.9038122988744703
1;3.9082427106908613
1;3.9117972937489496
1;3.914275248284636
3;3.916090990832337
1;3.916385781975376
1;3.917680299603502
1;3.918500588001522
4;3.9202394285119087
1;3.9208503724750177
1;3.9212049763137453
1;3.9332273281472308
7;3.9403450389342196
1;3.9409559828973286
1;3.946770631385379
1;3.9468090824040365
3;3.948535105908204
1;3.9494664750267896
1;3.9499407042568953
1;3.951619732071593
3;3.9584511963863562
1;3.964206032178718
4;3.977629710025488
1;3.9779629521871835
1;3.9793813675420937
1;3.988733509746607
1;3.9929417601218673
1;3.995770046160875
1;3.9962400030555743
3;3.996342539105327
3;3.996393807130203
3;3.996449347490486
3;3.9964920708445493
4;3.99671423228568
2;4.001973477170904
1;4.004438614700371
1;4.021596313692297
2;4.0275733109257885
1;4.028299607944869
4;4.265700469469849
1;4.26920378450306
1;4.278837900844393
1;4.283499018772727
1;4.283994609679865
3;4.284250949804246
1;4.284528651605659
1;4.285865892587848
1;4.28708350817866
1;4.292120591622753
1;4.293406564580066
1;4.294449014419217
1;4.298332567303595
1;4.299985961105855
1;4.3008617898641575
1;4.3012035766966665
1;4.302963778884084
1;4.304202756151928
1;4.304433462263871
1;4.318032305862302
1;4.318459539402938
4;4.326423172600385
1;4.328871220788227
1;4.334955026406878
1;4.335185732518821
2;4.344841210537186
3;4.350702854714706
3;4.350796846093646
3;4.350860931124741
3;4.35128389232997
1;4.354983734791874
1;4.355158900543535
1;4.355304159947351
1;4.355334066295196
1;4.355620312767422
2;4.361187165801903
4;4.361695573715259
1;4.363314788834269
1;4.3653227864752555
1;4.371774012938853
1;4.373337687697579
1;4.380775823640045
3;4.381557661019408
3;4.381634563056723
3;4.381681558746193
3;4.391225956043992
2;4.396732996382784
1;4.622628458658447
1;4.627058870474839
2;4.630570730178863
2;4.630861248986495
1;4.6464937242383515
1;4.649971405259126
1;4.652368185422091
3;4.659050117997632
1;4.660105384843002
1;4.66659078998985
1;4.666847130114231
1;4.66704792987833
4;4.667804133245255
1;4.667881035282569
1;4.672473795844402
1;4.676207816989557
1;4.676233451001995
1;4.676237723337401
1;4.687533778151806
1;4.687879837319722
3;4.692968188788691
3;4.693015184478162
1;4.693497958379079
1;4.697881374506
1;4.704819647205922
1;4.70581937369101
1;4.706037262796734
1;4.706955814909101
4;4.706985721256945
1;4.71117688229058
3;4.714214512764499
1;4.717713555462304
1;4.718315954754601
1;4.71938403860619
4;4.719636106395165
1;4.7196660127430095
5;4.720729824259192
1;4.7211656024706405
1;4.722156784284915
1;4.723100970409719
1;4.724809904572262
3;4.727937254089714
2;4.7304066639545885
4;4.73505923721211
1;4.752840697173363
3;4.76269270262042
1;5.088859876883256
1;5.088983774610041
1;5.090192845530039
1;5.092713523419789
1;5.102851775339071
1;5.743646545932177
1;5.750341295513937
1;5.751417924036338
3;5.7715577131419
1;5.777141655518007
1;5.785575245610154
1;5.787702868642519
1;5.787818221698491
1;5.78792503008365
1;5.789228092382588
1;5.793461976770287
4;5.802767123285331
2;5.806573774132393
1;5.80706936503953
1;5.807329977499318
1;5.807770028046173
1;5.808573227102568
1;5.809337975140306
1;5.809722485326878
1;5.810952917923908
1;5.811704848955427
1;5.811734755303271
1;5.8121448995022815
1;5.812183350520939
1;5.8132770683849655
1;5.813383876770125
1;5.8160968097531605
1;5.819877826587786
2;5.82133896529676
1;5.821689296800081
1;5.822599304241634
1;5.825701019746649
1;5.82581637280262
1;5.826188065982973
1;5.826222244666225
1;5.8273031455240325
3;5.828512216444031
1;5.83109270702947
2;5.833211785391023
1;5.83449348601293
1;5.835023255603318
2;5.841846175247268
1;5.842905714428044
4;5.845456298665638
1;5.8521296865703665
3;5.8683517441083
3;5.962902798986363
1;6.118159467653337
1;6.122829130252484
1;6.123504159246688
1;6.134958290471128
3;6.137466151354659
1;6.137615683093882
1;6.137760942497698
1;6.139196447194234
1;6.16403153291138
4;6.165073982750531
1;6.176523841639565
1;6.1766477393663495
1;6.176933985838575
3;6.204195758066533
3;6.204251298426815
1;6.22072969608913
2;6.2351531004209875
2;6.242954384872993
1;6.476557140221722
1;6.477830296172816
1;6.487989909769131
1;6.489019542602063
1;6.4955647604446
4;6.502579935181836
1;6.5046520178539184
1;6.507155606402043
1;6.507223963768545
3;6.507621290961336
1;6.508010073483314
1;6.525774444102942
1;6.530004056155235
3;6.532353840628731
3;6.532409380989013
1;6.532964784591839
3;6.540108129391267
1;6.557047939277468
1;6.557312824072662
1;6.558444992955346
1;6.558470626967784
1;6.561803048584742
1;6.561897039963681
1;6.562490894585165
1;6.563789684548698
1;6.563806773890323
4;6.572851307945578
1;6.576927115923242
1;6.579208543030236
3;6.602890098187666
3;6.602937093877137
4;6.8439523511558935
2;6.858674818966196
1;6.8590465121465485
1;6.859106324842237
1;6.859542103053686
1;6.860140230010575
1;6.860469199836865
1;6.862020057589373
1;6.862639546223294
1;6.863536736658629
1;6.864198948646614
4;6.8649508796781324
1;6.865061960398697
2;6.865292666510641
1;6.866147133591912
1;6.866343661020604
1;6.866369295033043
1;6.8668264349215224
1;6.866980238996152
1;6.868385837344842
7;6.8702015798925435
12;6.875734254243775
1;6.876362287548509
1;6.876913418815929
1;6.878203664108648
3;6.878613808307659
1;6.879006863165044
1;6.88124983925338
1;6.8818351492040515
1;6.882270927415499
1;6.882279472086312
1;6.882557173887725
1;6.88276224598723
1;6.883022858447018
1;6.883462908993873
2;6.885650344721927
1;6.886966224027084
1;6.888811872922631
1;6.888969949332665
1;6.889828688749343
1;6.889922680128283
1;6.8934046334844625
1;6.894669244764744
1;6.894682061770963
1;6.895036665609691
1;6.8962500088650955
1;6.896745599772233
1;6.897014756902833
1;6.899714872879651
1;6.900663331339862
1;6.901129015899154
3;6.901885219266079
1;6.902718324670319
1;6.909737771742962
1;6.910793038588332
1;6.910831489606989
1;6.911839760762889
1;6.912057649868613
2;6.913018925335043
1;6.91580021568458
1;6.917154546008396
1;6.917910749375321
1;6.9200084660598415
1;6.920192176482314
1;6.922430880235245
1;6.922640224670157
3;6.924490145901109
3;6.924554230932204
1;6.924780664708741
1;6.924814843391991
1;6.925870110237361
1;6.933192893123856
1;6.933667122353961
4;6.933910645472124
1;6.934983001659119
1;6.937144803374735
1;6.940434501637629
1;6.954234145000158
3;6.957895536443406
3;6.958126242555349
1;6.964423664944317
1;6.96736303170389
1;6.967555286797176
1;6.967615099492865
2;6.981995780470659
1;7.2088696075543774
1;7.21689732578292
1;7.230299641952659
1;7.231188287717181
1;7.235981848043112
3;7.242979933438724
1;7.249315806846349
4;7.250717132859634
1;7.250798307232355
1;7.254002558787121
1;7.258185175149944
1;7.264563771911633
1;7.270818470946539
1;7.27167293802781
2;7.279619481883632
1;7.291188966164044
2;7.2918255441395905
1;7.2920776119285655
1;7.293931805494924
1;7.293974528848987
1;7.294316315681496
3;7.2982340472491245
3;7.298285315274001
3;7.298396395994566
2;7.300908529213503
2;7.304232406159648
1;7.314849159644442
2;7.317831249758079
1;7.325209573004856
1;7.3254659131292374
1;7.327691799875948
3;7.331015676822093
3;7.3310925788594075
3;7.335112846476789
3;7.335211110191135
3;7.335258105880605
